id,name,category,subtype,rarity,level,image_url,wiki_url,obtain,dmg_clean,dmg_max,def_clean,def_max,upgradeable,crit,health_regen,stamina_regen,price_clean_oml,price_max_oml,price_source,price_category,last_updated,updated_at
1,Abyss Sentinel,Armor,Exclusive Blossom,Tribute,415,https://swordburst2.fandom.com/Special:Redirect/file/Abyss_Sentinel.png,https://swordburst2.fandom.com/wiki/Abyss_Sentinel,"Azeis, Spirit of the Blossom",,,589286,825000,TRUE,,+35%,+50%,250+,100-150,tributes,- ROTATIONAL FLOOR TRIBUTES -,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
2,Abridged Amethyst,Spear,Limited,Legendary,250,https://swordburst2.fandom.com/Special:Redirect/file/Abridged_Amethyst.png,https://swordburst2.fandom.com/wiki/Abridged_Amethyst,"Kloff, Marauder of the Frost",11660,,,,TRUE,21%,+10%,+10%,0.5 - 1,,clean_legendaries,Easter Realm (2023),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
3,Abysmal Oblivion,Greatsword,FL Limited (Hammer,Legendary,200,https://swordburst2.fandom.com/Special:Redirect/file/Abysmal_Oblivion.png,https://swordburst2.fandom.com/wiki/Abysmal_Oblivion,Eternal Domain Dungeon,+36 per level,,,,FALSE,20%,+20%,+20%,5-7,,clean_legendaries,Egg Realm (2025),2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
4,Abyssal's Aurora,Longsword,One Piece (Limited,Legendary,75,https://swordburst2.fandom.com/Special:Redirect/file/Abyssal's_Aurora.png,https://swordburst2.fandom.com/wiki/Abyssal's_Aurora,*Arcadia Exclusive Shop,900,1800,,,TRUE,15%,+8%,+8%,4,1-2,clean_legendaries,Fourth Edition,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
5,Abyssal Wanderer,Armor,,Rare,265,https://swordburst2.fandom.com/Special:Redirect/file/Abyssal_Wanderer.png,https://swordburst2.fandom.com/wiki/Abyssal_Wanderer,Failed Experiment,,,106000,148400,TRUE,,+8%,+8%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
6,Abyssal Pressure,Greatsword,,Rare,400,https://swordburst2.fandom.com/Special:Redirect/file/Abyssal_Pressure.png,https://swordburst2.fandom.com/wiki/Abyssal_Pressure,Nautilus Arcwave,,,30493,48790,TRUE,18%,15%,15%,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
7,Achromatic Soul,Longsword,,Rare,170,https://swordburst2.fandom.com/Special:Redirect/file/Achromatic_Soul.png,https://swordburst2.fandom.com/wiki/Achromatic_Soul,*Shadow Figure,2720,4352,,,TRUE,12%,+4%,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
8,Abyssal Yule Blade,Longsword,Limited,Uncommon,50,https://swordburst2.fandom.com/Special:Redirect/file/Abyssal_Yule_Blade.png,https://swordburst2.fandom.com/wiki/Abyssal_Yule_Blade,Icy Snowman,740,,,,TRUE,12%,3%,12%,1,,misc,Winter Event,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
9,Accel Zulu,Rapier,,Common,110,https://swordburst2.fandom.com/Special:Redirect/file/Accel_Zulu.png,https://swordburst2.fandom.com/wiki/Accel_Zulu,Sentry,1368,1915,,,TRUE,11%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
10,Advocate,Greatsword,,Uncommon,12,https://swordburst2.fandom.com/Special:Redirect/file/Advocate.png,https://swordburst2.fandom.com/wiki/Advocate,Rahjin the Thief King,25,35,,,TRUE,18%,,,,,,,2026-09-19 02:35 UTC,2026-09-18T22:52:00Z
